Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
457505,2020-12-10 03:00:32,213161231269724,fraud_Hackett-Lueilwitz,grocery_pos,87.29,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,7a7aab2aead4d54db9a6a48e25ed16a2,1386644432,35.034802,-85.388888,0
354681,2020-11-05 11:29:52,6011388901471808,"fraud_Goldner, Kovacek and Abbott",grocery_pos,115.8,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,506ea157ec09c9f04eb3ea8bed59d33a,1383650992,39.3421,-80.375392,0
314618,2020-10-19 02:11:32,346273234529002,fraud_Kris-Weimann,misc_net,48.05,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,ee061293e36d11ac9ac2c37dad8e7467,1382148692,38.463489,-80.274004,0
476299,2020-12-14 12:55:18,3575540972310993,fraud_Jewess LLC,shopping_pos,5.35,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,85075dfd03e2ef0992e1b2c57202aa1e,1387025718,33.736678000000005,-90.23363,0
129300,2020-08-04 22:27:26,30551643947183,"fraud_Mante, Luettgen and Hackett",health_fitness,5.55,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,383ac06cc8c02ef1e2c2bee329a30f77,1375655246,34.78713,-81.789226,0
173522,2020-08-21 06:13:54,630441765090,"fraud_Robel, Cummerata and Prosacco",gas_transport,60.41,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1965-07-26,f5dda5a218cf6ac9c983019db72a8895,1377065634,32.756363,-98.765298,0
70618,2020-07-15 09:17:53,36485887555770,"fraud_Towne, Walker and Borer",grocery_net,82.38,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,2005-01-29,5287e2d50d4877b7c37fb480c0cdcf89,1373879873,41.342521000000005,-82.321499,0
44131,2020-07-06 14:15:33,5359543825610251,fraud_Kassulke Inc,entertainment,46.55,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,80ec517d4fcd2138a57dec02bcf7b911,1373120133,45.439503,-111.041655,0
20589,2020-06-28 15:41:36,180081032825079,"fraud_McDermott, Osinski and Morar",home,112.6,Connie,Carroll,F,872 Justin Views Suite 746,Duncan,MS,38740,34.047,-90.7652,466,Trading standards officer,1955-04-03,07d70207e4750e87f8fe53836c104c05,1372434096,33.585352,-91.360747,0
262980,2020-09-26 16:25:52,213174467670432,fraud_Goyette-Herzog,travel,3.64,James,Bishop,M,7055 Fernandez Estates Apt. 676,Cecilton,MD,21913,39.4015,-75.8654,663,Podiatrist,1969-01-14,b492f488734fcf9b550edf1074d9163b,1380212752,39.944284,-75.398546,0
182833,2020-08-24 13:30:29,3504178999463051,fraud_Renner Ltd,home,10.35,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,4f9ee429ecc233dca0256f7f88a2809d,1377351029,40.67987,-84.44099399999999,0
499092,2020-12-19 19:53:19,2720433095629877,fraud_Dooley Inc,shopping_pos,6.84,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,4671b3e39ec9b6eafda4f2b79ff88cc4,1387482799,44.084961,-69.007131,0
306609,2020-10-15 07:54:39,213124978348176,fraud_Rempel Inc,shopping_net,5.84,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04,bf3a80f6d50c57946d609aab9300f4fe,1381823679,42.106837,-78.094864,0
139912,2020-08-09 13:54:23,4874017206859125,fraud_Wilkinson Ltd,entertainment,320.29,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,1982-05-28,cf9c07174553f7b4f31f739626ca2d49,1376056463,46.061039,-122.338219,0
167722,2020-08-18 17:36:15,30234966027947,fraud_Hamill-D'Amore,health_fitness,172.05,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,b1167f73e4d491f897683b3fee3c0e05,1376847375,43.971408,-88.27255600000001,0
291732,2020-10-08 22:32:09,6597248210463122,fraud_Hickle Group,shopping_pos,798.05,Kyle,Wright,M,610 Samantha Park Suite 149,Whittemore,IA,50598,43.0261,-94.4064,912,Optometrist,1968-05-16,e9989706afb4b7b0b346fd8b69fe6146,1381271529,43.062934000000006,-94.974793,1
484841,2020-12-15 20:39:19,4561546772499,fraud_Brown Inc,kids_pets,140.5,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,b18ec7dc05d8da747063cca2edb86117,1387139959,35.103209,-105.39962,0
477777,2020-12-14 17:28:43,213191402330021,"fraud_McCullough, Hudson and Schuster",food_dining,87.1,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,5cf8a9cd58847525eb4a1a6037565ae7,1387042123,42.12295,-88.877977,0
425694,2020-12-03 02:59:57,213126662687660,fraud_Bogisich-Homenick,misc_net,585.03,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,3a588cc38c0fca5549e42b8a8ca2e2a0,1386039597,26.535587,-98.855474,0
182576,2020-08-24 12:08:18,6011348830550197,"fraud_Turner, Ziemann and Lehner",food_dining,8.3,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,5646a4a1c03bf24f0dcc364e0116f7cd,1377346098,33.62733,-87.25766,0
394310,2020-11-23 03:01:36,3575789281659026,"fraud_Ferry, Reichel and DuBuque",grocery_net,28.76,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,9d430079cdb3181d8962775fd830dbf7,1385175696,39.236557,-94.453812,0
62771,2020-07-13 04:14:15,4986925034905735,"fraud_Jenkins, Hauck and Friesen",gas_transport,63.6,Erika,Gonzalez,F,907 Courtney Via Apt. 896,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",1959-06-18,9cb8f06031eb5600d1a31dd5146530fd,1373688855,38.086252,-84.296137,0
347122,2020-11-02 08:42:29,376445266762684,fraud_Kuhn LLC,misc_net,2.05,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,121bfa89400e7341df304a193c4c9ee8,1383381749,41.852203,-101.461414,0
547885,2020-12-29 19:17:03,371226440126102,"fraud_Medhurst, Cartwright and Ebert",personal_care,60.51,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,048c8b965dfcbdd9b023f6a5160beb0d,1388344623,39.205918,-88.295627,0
390851,2020-11-21 18:42:18,38588538868506,"fraud_Boehm, Block and Jakubowski",misc_pos,3.58,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,1990-11-23,4a792a7dc95b3d5e24119848a8c06375,1385059338,29.53367,-103.746023,0
528140,2020-12-26 03:46:04,6596735789587928,fraud_Pouros-Haag,shopping_pos,2.36,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,55388,44.9595,-93.8482,5619,Licensed conveyancer,1959-01-15,828b54bd4d205f1114bce6fa8bc8f433,1388029564,44.826412,-93.239743,0
49680,2020-07-07 21:51:28,3551217896304745,"fraud_Hoppe, Harris and Bednar",entertainment,41.51,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,f61d26ed6b4f4f5674f6a7e99c0236f1,1373233888,44.461077,-74.691728,0
58283,2020-07-11 19:34:58,4586260469584,"fraud_Nicolas, Hills and McGlynn",entertainment,61.42,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,86ff94e08aad67e42f0a2fda8f16d963,1373571298,40.098481,-96.005112,0
437693,2020-12-06 08:59:22,371284100299909,fraud_Wiegand-Lowe,grocery_net,68.65,Hannah,Thomas,F,1004 Willis Pass,Hedley,TX,79237,34.8698,-100.6806,513,Early years teacher,1976-05-24,cb8d1fdf24f0f020ac69d6aa3eb8bd72,1386320362,35.431596,-100.547693,0
522118,2020-12-24 12:28:48,3531129874770000,fraud_Bode-Rempel,kids_pets,46.38,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,db9f6eee4b9233b6e2e36af98a062fba,1387888128,43.808829,-72.885136,0
42345,2020-07-06 02:16:18,4509142395811241,fraud_Murray-Smitham,grocery_pos,131.34,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,dd1f8fcae9408ebf2a5b654b197ec573,1373076978,31.325235,-82.33109499999999,0
435385,2020-12-05 20:20:37,376445266762684,fraud_Zulauf LLC,personal_care,16.44,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,d378da920829f5a36fffe349e5e4d54c,1386274837,40.745304,-102.049869,0
194510,2020-08-28 20:09:40,377993105397617,fraud_Fadel Inc,health_fitness,90.14,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,e0cd3cb22a819052c0ce92e24a5d0e87,1377720580,44.276288,-88.226601,0
198278,2020-08-30 09:38:04,346273234529002,fraud_Stamm-Rodriguez,misc_pos,8.34,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,1836b9811d54ce511b0740cfecb94ec1,1377855484,38.67304,-80.077727,0
2544,2020-06-22 04:09:57,4195740185974,fraud_McGlynn-Heathcote,misc_net,5.8,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",1963-04-04,71b6beb9bec2312f9a61b9ce9a99ce28,1371874197,45.164699,-122.275714,0
292435,2020-10-09 09:53:40,3521815216091574,"fraud_Schumm, Bauch and Ondricka",grocery_pos,114.04,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,2c02fff2bb6b487383894a7c180e1164,1381312420,38.875742,-106.596876,0
242707,2020-09-17 06:17:03,3518669219150142,fraud_Torp-Labadie,gas_transport,64.67,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,77ecf259ae01da8e1635c0a8bc3865f8,1379398623,39.828028,-84.18776700000001,0
129572,2020-08-04 23:54:01,30199621383748,fraud_Ankunding-Carroll,travel,1.36,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,131f739e44c6d87291f6b1fdc2bb99e9,1375660441,34.308536,-97.133883,0
79971,2020-07-19 12:16:57,372509258176510,fraud_Lesch Ltd,shopping_pos,1273.97,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,629cf0d5d73898465eb64f42f4dfea50,1374236217,43.617218,-83.86173199999999,0
406726,2020-11-28 21:40:54,4683638447911,"fraud_Roberts, Daniel and Macejkovic",kids_pets,48.77,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1972-07-01,f6962ec18151977ea7a1816035df75ab,1385674854,29.955116,-91.658028,0
